X1,X2
Canada,"àVélo (Quebec City)
Bike Share Toronto
BIXI Montréal
VeloGo (Ottawa)
Mobi (Vancouver)
Hamilton Bike Share"
Mexico,"EcoBici (Mexico City)
Mi Bici (Guadalajara)"
United States,"B-Cycle: Austin B-Cycle
Aventura B-Cycle
Battle Creek B-Cycle
Bike Chattanooga
Boulder B-Cycle
Broward B-Cycle
Bublr Bikes (Milwaukee)
Charlotte B-Cycle
Columbia County B-Cycle
Denver B-Cycle
Des Moines B-Cycle
Fort Worth B-Cycle
Great Rides B-Cycle (Fargo)
GREENbike (Salt Lake City)
Greenville B-Cycle
Heartland B-Cycle (Omaha)
Indego (Philadelphia)
Indiana Pacers Bikeshare (Indianapolis)
Kansas City B-Cycle
Link Dayton Bike Share
Madison B-Cycle
Metro Bike Share (Los Angeles)
Nashville B-Cycle
Rapid City B-Cycle
Red Bike (Cincinnati)
Roseburg B-Cycle
San Antonio B-Cycle
Spartanburg B-Cycleothers: ArborBike (Ann Arbor)
Arcata Bike Library (Arcata)
Bay Wheels (San Francisco Bay Area)
BICI Bike Share (Albuquerque)
Biketown (Portland)
Bluebikes (Boston)
Boise GreenBike
Capital Bikeshare (Washington, D.C.)
CAT Bike (Savannah)
Citi Bike (New York City; Jersey City)
CoGo Bike Share (Columbus)
Citi Bike Miami
Divvy (Chicago)
Healthy Ride (Pittsburgh)
Lime
Relay Bike Share (Atlanta)
Richmond Bikeshare
WE-cycle (Aspen)"
